,answer,,,,,output,,,
55,1,0,0,0,,0.9891,0.0114,0.0002,0.0047
56,1,0,0,0,,0.9895,0.0111,0.0001,0.0048
57,1,0,0,0,,0.9898,0.0108,0.0001,0.0049
58,1,0,0,0,,0.9901,0.0105,0.0001,0.005
59,1,0,0,0,,0.9903,0.0103,0.0001,0.0051
60,1,0,0,0,,0.9906,0.01,0.0001,0.0051
61,1,0,0,0,,0.9908,0.0098,0.0001,0.0052
62,1,0,0,0,,0.991,0.0096,0.0001,0.0053
63,1,0,0,0,,0.9913,0.0094,0.0001,0.0054
64,1,0,0,0,,0.9915,0.0092,0.0001,0.0055
65,1,0,0,0,,0.9916,0.009,0.0001,0.0056
66,1,0,0,0,,0.9918,0.0088,0.0001,0.0057
67,1,0,0,0,,0.992,0.0087,0.0001,0.0058
68,1,0,0,0,,0.9921,0.0085,0.0001,0.0058
69,1,0,0,0,,0.9923,0.0084,0.0001,0.0059
70,1,0,0,0,,0.9924,0.0082,0.0001,0.006
71,1,0,0,0,,0.9926,0.0081,0.0001,0.0061
72,1,0,0,0,,0.9927,0.008,0.0001,0.0062
73,1,0,0,0,,0.9928,0.0079,0.0001,0.0062
74,1,0,0,0,,0.9929,0.0077,0.0001,0.0063
75,1,0,0,0,,0.9931,0.0076,0.0001,0.0064
76,1,0,0,0,,0.9932,0.0075,0.0001,0.0065
77,1,0,0,0,,0.9933,0.0074,0.0001,0.0065
78,1,0,0,0,,0.9934,0.0073,0.0001,0.0066
79,1,0,0,0,,0.9935,0.0072,0.0001,0.0067
80,1,0,0,0,,0.9936,0.0071,0.0001,0.0068
81,1,0,0,0,,0.9937,0.007,0.0001,0.0069
82,1,0,0,0,,0.9938,0.0069,0.0001,0.007
83,1,0,0,0,,0.9939,0.0068,0.0001,0.007
84,1,0,0,0,,0.9939,0.0068,0.0001,0.0071
85,1,0,0,0,,0.994,0.0067,0.0001,0.0072
86,1,0,0,0,,0.9941,0.0066,0.0001,0.0073
87,1,0,0,0,,0.9942,0.0065,0.0001,0.0074
88,1,0,0,0,,0.9943,0.0065,0.0001,0.0074
89,1,0,0,0,,0.9943,0.0064,0.0001,0.0075
90,1,0,0,0,,0.9944,0.0063,0.0001,0.0076
91,1,0,0,0,,0.9945,0.0062,0.0001,0.0077
92,1,0,0,0,,0.9945,0.0062,0.0001,0.0077
93,1,0,0,0,,0.9946,0.0061,0.0001,0.0078
94,1,0,0,0,,0.9947,0.0061,0.0001,0.0079
95,1,0,0,0,,0.9947,0.006,0.0001,0.008
96,1,0,0,0,,0.9948,0.006,0.0001,0.008
97,1,0,0,0,,0.9948,0.0059,0.0001,0.0081
98,1,0,0,0,,0.9949,0.0058,0.0001,0.0082
99,1,0,0,0,,0.9949,0.0058,0.0001,0.0083
100,1,0,0,0,,0.995,0.0057,0.0001,0.0083
101,1,0,0,0,,0.995,0.0057,0.0001,0.0084
102,1,0,0,0,,0.9951,0.0057,0.0001,0.0085
103,1,0,0,0,,0.9951,0.0056,0.0001,0.0085
104,1,0,0,0,,0.9951,0.0056,0.0001,0.0086
105,1,0,0,0,,0.9952,0.0055,0.0001,0.0086
106,1,0,0,0,,0.9952,0.0055,0.0001,0.0087
107,1,0,0,0,,0.9953,0.0055,0.0001,0.0088
108,1,0,0,0,,0.9953,0.0054,0.0001,0.0088
109,1,0,0,0,,0.9953,0.0054,0.0001,0.0089
110,1,0,0,0,,0.9954,0.0054,0.0001,0.0089
111,1,0,0,0,,0.9954,0.0053,0.0001,0.009
112,1,0,0,0,,0.9954,0.0053,0.0001,0.009
113,1,0,0,0,,0.9954,0.0053,0.0001,0.0091
114,1,0,0,0,,0.9955,0.0053,0.0001,0.0091
115,1,0,0,0,,0.9955,0.0052,0.0001,0.0092
116,1,0,0,0,,0.9955,0.0052,0.0001,0.0092
117,1,0,0,0,,0.9956,0.0052,0.0001,0.0093
118,1,0,0,0,,0.9956,0.0052,0.0001,0.0093
119,1,0,0,0,,0.9956,0.0051,0.0001,0.0094
120,1,0,0,0,,0.9956,0.0051,0.0001,0.0094
121,1,0,0,0,,0.9956,0.0051,0.0001,0.0095
122,1,0,0,0,,0.9957,0.0051,0.0001,0.0095
123,1,0,0,0,,0.9957,0.0051,0.0001,0.0095
124,1,0,0,0,,0.9957,0.005,0.0001,0.0096
125,1,0,0,0,,0.9957,0.005,0.0001,0.0096
126,1,0,0,0,,0.9957,0.005,0.0001,0.0096
127,1,0,0,0,,0.9957,0.005,0.0001,0.0097
128,1,0,0,0,,0.9957,0.005,0.0001,0.0097
129,1,0,0,0,,0.9957,0.005,0.0001,0.0097
130,1,0,0,0,,0.9957,0.005,0.0001,0.0097
131,1,0,0,0,,0.9958,0.005,0.0001,0.0097
132,1,0,0,0,,0.9958,0.005,0.0001,0.0097
133,1,0,0,0,,0.9958,0.005,0.0001,0.0097
134,1,0,0,0,,0.9958,0.005,0.0001,0.0098
135,1,0,0,0,,0.9958,0.005,0.0001,0.0098
136,1,0,0,0,,0.9958,0.0049,0.0001,0.0098
137,1,0,0,0,,0.9958,0.0049,0.0001,0.0098
138,1,0,0,0,,0.9958,0.0049,0.0001,0.0098
139,1,0,0,0,,0.9958,0.0049,0.0001,0.0098
140,1,0,0,0,,0.9958,0.0049,0.0001,0.0099
141,1,0,0,0,,0.9958,0.0049,0.0001,0.0099
142,1,0,0,0,,0.9958,0.0049,0.0001,0.0099
143,1,0,0,0,,0.9958,0.0049,0.0001,0.0099
144,1,0,0,0,,0.9958,0.0049,0.0001,0.0099
145,1,0,0,0,,0.9959,0.0049,0.0001,0.0099
146,1,0,0,0,,0.9959,0.0049,0.0001,0.01
147,1,0,0,0,,0.9959,0.0049,0.0001,0.01
148,1,0,0,0,,0.9959,0.0049,0.0001,0.01
149,1,0,0,0,,0.9959,0.0049,0.0001,0.01
150,1,0,0,0,,0.9959,0.0048,0.0001,0.01
151,1,0,0,0,,0.9959,0.0048,0.0001,0.01
152,1,0,0,0,,0.9959,0.0048,0.0001,0.01
153,1,0,0,0,,0.9959,0.0048,0.0001,0.0101
154,1,0,0,0,,0.9959,0.0048,0.0001,0.0101
155,1,0,0,0,,0.9959,0.0048,0.0001,0.0101
156,1,0,0,0,,0.9959,0.0048,0.0001,0.0101
157,1,0,0,0,,0.9959,0.0048,0.0001,0.0101
158,1,0,0,0,,0.9959,0.0048,0.0001,0.0101
159,1,0,0,0,,0.9959,0.0048,0.0001,0.0101
160,1,0,0,0,,0.9959,0.0048,0.0001,0.0101
161,1,0,0,0,,0.9959,0.0048,0.0001,0.0102
162,1,0,0,0,,0.9959,0.0048,0.0001,0.0102
163,1,0,0,0,,0.9959,0.0048,0.0001,0.0102
164,1,0,0,0,,0.9959,0.0048,0.0001,0.0102
165,1,0,0,0,,0.9959,0.0048,0.0001,0.0102
166,1,0,0,0,,0.996,0.0048,0.0001,0.0102
167,1,0,0,0,,0.996,0.0048,0.0001,0.0102
168,1,0,0,0,,0.996,0.0048,0.0001,0.0102
169,1,0,0,0,,0.996,0.0048,0.0001,0.0102
170,1,0,0,0,,0.996,0.0048,0.0001,0.0102
171,1,0,0,0,,0.996,0.0048,0.0001,0.0103
172,1,0,0,0,,0.996,0.0048,0.0001,0.0103
173,1,0,0,0,,0.996,0.0048,0.0001,0.0103
174,1,0,0,0,,0.996,0.0047,0.0001,0.0103
175,1,0,0,0,,0.996,0.0047,0.0001,0.0103
176,1,0,0,0,,0.996,0.0047,0.0001,0.0103
177,1,0,0,0,,0.996,0.0047,0.0001,0.0103
178,1,0,0,0,,0.996,0.0047,0.0001,0.0104
179,1,0,0,0,,0.996,0.0047,0.0001,0.0104
180,1,0,0,0,,0.996,0.0047,0.0001,0.0104
181,1,0,0,0,,0.996,0.0047,0.0001,0.0104
182,1,0,0,0,,0.996,0.0047,0.0001,0.0104
183,1,0,0,0,,0.996,0.0047,0.0001,0.0104
184,1,0,0,0,,0.996,0.0047,0.0001,0.0104
185,1,0,0,0,,0.996,0.0047,0.0001,0.0104
186,1,0,0,0,,0.996,0.0047,0.0001,0.0105
187,1,0,0,0,,0.996,0.0047,0.0001,0.0105
188,1,0,0,0,,0.996,0.0047,0.0001,0.0105
189,1,0,0,0,,0.996,0.0047,0.0001,0.0105
190,1,0,0,0,,0.996,0.0047,0.0001,0.0105
191,1,0,0,0,,0.996,0.0047,0.0001,0.0105
192,1,0,0,0,,0.996,0.0047,0.0001,0.0105
193,1,0,0,0,,0.996,0.0047,0.0001,0.0105
194,1,0,0,0,,0.9961,0.0047,0.0001,0.0105
195,1,0,0,0,,0.9961,0.0047,0.0001,0.0105
196,1,0,0,0,,0.9961,0.0047,0.0001,0.0105
197,1,0,0,0,,0.9961,0.0047,0.0001,0.0105
198,1,0,0,0,,0.9961,0.0047,0.0001,0.0106
199,1,0,0,0,,0.9961,0.0047,0.0001,0.0106
200,1,0,0,0,,0.9961,0.0047,0.0001,0.0106
201,1,0,0,0,,0.9961,0.0047,0.0001,0.0106
202,1,0,0,0,,0.9961,0.0047,0.0001,0.0106
203,1,0,0,0,,0.9961,0.0047,0.0001,0.0106
204,1,0,0,0,,0.9961,0.0047,0.0001,0.0106
205,1,0,0,0,,0.9961,0.0047,0.0001,0.0106
206,1,0,0,0,,0.9961,0.0046,0.0001,0.0106
207,1,0,0,0,,0.9961,0.0046,0.0001,0.0106
208,1,0,0,0,,0.9961,0.0046,0.0001,0.0106
209,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
210,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
211,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
212,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
213,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
214,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
215,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
216,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
217,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
218,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
219,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
220,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
221,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
222,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
223,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
224,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
225,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
226,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
227,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
228,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
229,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
230,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
231,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
232,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
233,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
234,1,0,0,0,,0.9961,0.0046,0.0001,0.0108
235,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
236,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
237,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
238,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
239,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
240,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
241,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
242,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
243,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
244,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
245,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
246,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
247,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
248,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
249,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
250,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
251,1,0,0,0,,0.9961,0.0046,0.0001,0.0107
252,1,0,0,0,,0.9961,0.0046,0.0001,0.0106
253,1,0,0,0,,0.9961,0.0046,0.0001,0.0106
254,1,0,0,0,,0.9961,0.0046,0.0001,0.0106
255,1,0,0,0,,0.9961,0.0046,0.0001,0.0106
256,1,0,0,0,,0.9961,0.0046,0.0001,0.0106
257,1,0,0,0,,0.9961,0.0047,0.0001,0.0106
258,1,0,0,0,,0.9961,0.0047,0.0001,0.0106
259,1,0,0,0,,0.9961,0.0047,0.0001,0.0106
260,1,0,0,0,,0.9961,0.0047,0.0001,0.0106
261,1,0,0,0,,0.9961,0.0047,0.0001,0.0105
262,1,0,0,0,,0.9961,0.0047,0.0001,0.0105
263,1,0,0,0,,0.9961,0.0047,0.0001,0.0105
264,1,0,0,0,,0.9961,0.0047,0.0001,0.0105
265,1,0,0,0,,0.9961,0.0047,0.0001,0.0105
266,1,0,0,0,,0.9961,0.0047,0.0001,0.0105
267,1,0,0,0,,0.9961,0.0047,0.0001,0.0105
268,1,0,0,0,,0.996,0.0047,0.0001,0.0105
269,1,0,0,0,,0.996,0.0047,0.0001,0.0105
270,1,0,0,0,,0.996,0.0047,0.0001,0.0105
271,1,0,0,0,,0.996,0.0047,0.0001,0.0105
272,1,0,0,0,,0.996,0.0047,0.0001,0.0104
273,1,0,0,0,,0.996,0.0047,0.0001,0.0104
274,1,0,0,0,,0.996,0.0047,0.0001,0.0104
275,1,0,0,0,,0.996,0.0047,0.0001,0.0104
276,1,0,0,0,,0.996,0.0047,0.0001,0.0104
277,1,0,0,0,,0.996,0.0047,0.0001,0.0104
278,1,0,0,0,,0.996,0.0047,0.0001,0.0104
279,1,0,0,0,,0.996,0.0047,0.0001,0.0104
280,1,0,0,0,,0.996,0.0047,0.0001,0.0104
281,1,0,0,0,,0.996,0.0047,0.0001,0.0104
282,1,0,0,0,,0.996,0.0047,0.0001,0.0103
283,1,0,0,0,,0.996,0.0047,0.0001,0.0103
284,1,0,0,0,,0.996,0.0047,0.0001,0.0103
285,1,0,0,0,,0.996,0.0047,0.0001,0.0103
286,1,0,0,0,,0.996,0.0047,0.0001,0.0103
287,1,0,0,0,,0.996,0.0047,0.0001,0.0103
288,1,0,0,0,,0.996,0.0047,0.0001,0.0103
289,1,0,0,0,,0.996,0.0047,0.0001,0.0103
290,1,0,0,0,,0.996,0.0047,0.0001,0.0103
291,1,0,0,0,,0.996,0.0047,0.0001,0.0103
292,1,0,0,0,,0.996,0.0047,0.0001,0.0103
293,1,0,0,0,,0.996,0.0047,0.0001,0.0103
294,1,0,0,0,,0.996,0.0047,0.0001,0.0103
295,1,0,0,0,,0.996,0.0047,0.0001,0.0103
296,1,0,0,0,,0.996,0.0047,0.0001,0.0103
297,1,0,0,0,,0.996,0.0047,0.0001,0.0103
298,1,0,0,0,,0.996,0.0047,0.0001,0.0103
299,1,0,0,0,,0.996,0.0047,0.0001,0.0103
300,1,0,0,0,,0.996,0.0047,0.0001,0.0103
301,1,0,0,0,,0.996,0.0047,0.0001,0.0103
302,1,0,0,0,,0.996,0.0047,0.0001,0.0103
303,1,0,0,0,,0.996,0.0047,0.0001,0.0103
304,1,0,0,0,,0.996,0.0047,0.0001,0.0103
305,1,0,0,0,,0.996,0.0047,0.0001,0.0103
306,1,0,0,0,,0.996,0.0047,0.0001,0.0103
307,1,0,0,0,,0.996,0.0047,0.0001,0.0103
308,1,0,0,0,,0.996,0.0047,0.0001,0.0103
309,1,0,0,0,,0.996,0.0047,0.0001,0.0103
310,1,0,0,0,,0.996,0.0047,0.0001,0.0103
311,1,0,0,0,,0.996,0.0047,0.0001,0.0103
312,1,0,0,0,,0.996,0.0048,0.0001,0.0103
313,1,0,0,0,,0.996,0.0048,0.0001,0.0103
314,1,0,0,0,,0.996,0.0048,0.0001,0.0103
315,1,0,0,0,,0.996,0.0048,0.0001,0.0103
316,1,0,0,0,,0.996,0.0048,0.0001,0.0102
317,1,0,0,0,,0.996,0.0048,0.0001,0.0102
318,1,0,0,0,,0.996,0.0048,0.0001,0.0102
319,1,0,0,0,,0.996,0.0048,0.0001,0.0102
320,1,0,0,0,,0.996,0.0048,0.0001,0.0102
321,1,0,0,0,,0.996,0.0048,0.0001,0.0102
322,1,0,0,0,,0.996,0.0048,0.0001,0.0102
323,1,0,0,0,,0.996,0.0048,0.0001,0.0102
324,1,0,0,0,,0.996,0.0048,0.0001,0.0102
325,1,0,0,0,,0.996,0.0048,0.0001,0.0102
326,1,0,0,0,,0.996,0.0048,0.0001,0.0102
327,1,0,0,0,,0.996,0.0048,0.0001,0.0102
328,1,0,0,0,,0.996,0.0048,0.0001,0.0102
329,1,0,0,0,,0.996,0.0048,0.0001,0.0102
330,1,0,0,0,,0.996,0.0048,0.0001,0.0102
331,1,0,0,0,,0.996,0.0048,0.0001,0.0102
332,1,0,0,0,,0.996,0.0048,0.0001,0.0102
333,1,0,0,0,,0.996,0.0048,0.0001,0.0102
334,1,0,0,0,,0.996,0.0048,0.0001,0.0102
335,1,0,0,0,,0.996,0.0048,0.0001,0.0102
336,1,0,0,0,,0.996,0.0048,0.0001,0.0102
337,1,0,0,0,,0.996,0.0048,0.0001,0.0102
338,1,0,0,0,,0.996,0.0048,0.0001,0.0102
339,1,0,0,0,,0.996,0.0048,0.0001,0.0102
340,1,0,0,0,,0.996,0.0048,0.0001,0.0102
341,1,0,0,0,,0.996,0.0048,0.0001,0.0102
342,1,0,0,0,,0.996,0.0048,0.0001,0.0102
343,1,0,0,0,,0.996,0.0048,0.0001,0.0102
344,1,0,0,0,,0.996,0.0048,0.0001,0.0102
345,1,0,0,0,,0.996,0.0048,0.0001,0.0102
346,1,0,0,0,,0.996,0.0048,0.0001,0.0102
347,1,0,0,0,,0.996,0.0048,0.0001,0.0102
348,1,0,0,0,,0.996,0.0048,0.0001,0.0101
349,1,0,0,0,,0.996,0.0048,0.0001,0.0101
350,1,0,0,0,,0.996,0.0048,0.0001,0.0101
351,1,0,0,0,,0.996,0.0048,0.0001,0.0101
352,1,0,0,0,,0.996,0.0048,0.0001,0.0101
353,1,0,0,0,,0.996,0.0048,0.0001,0.0101
354,1,0,0,0,,0.9959,0.0048,0.0001,0.0101
355,1,0,0,0,,0.9959,0.0048,0.0001,0.0101
356,1,0,0,0,,0.9959,0.0048,0.0001,0.0101
357,1,0,0,0,,0.9959,0.0048,0.0001,0.01
358,1,0,0,0,,0.9959,0.0048,0.0001,0.01
359,1,0,0,0,,0.9959,0.0048,0.0001,0.01
360,1,0,0,0,,0.9959,0.0048,0.0001,0.01
361,1,0,0,0,,0.9959,0.0048,0.0001,0.01
362,1,0,0,0,,0.9959,0.0048,0.0001,0.01
363,1,0,0,0,,0.9959,0.0048,0.0001,0.01
364,1,0,0,0,,0.9959,0.0048,0.0001,0.0099
365,1,0,0,0,,0.9959,0.0049,0.0001,0.0099
366,1,0,0,0,,0.9959,0.0049,0.0001,0.0099
367,1,0,0,0,,0.9959,0.0049,0.0001,0.0099
368,1,0,0,0,,0.9959,0.0049,0.0001,0.0099
369,1,0,0,0,,0.9959,0.0049,0.0001,0.0099
370,1,0,0,0,,0.9959,0.0049,0.0001,0.0098
371,1,0,0,0,,0.9958,0.0049,0.0001,0.0098
372,1,0,0,0,,0.9958,0.0049,0.0001,0.0098
373,1,0,0,0,,0.9958,0.0049,0.0001,0.0098
374,1,0,0,0,,0.9958,0.0049,0.0001,0.0098
375,1,0,0,0,,0.9958,0.0049,0.0001,0.0098
376,1,0,0,0,,0.9958,0.0049,0.0001,0.0097
377,1,0,0,0,,0.9958,0.0049,0.0001,0.0097
378,1,0,0,0,,0.9958,0.0049,0.0001,0.0097
379,1,0,0,0,,0.9958,0.0049,0.0001,0.0097
380,1,0,0,0,,0.9958,0.0049,0.0001,0.0097
381,1,0,0,0,,0.9958,0.005,0.0001,0.0096
382,1,0,0,0,,0.9958,0.005,0.0001,0.0096
383,1,0,0,0,,0.9958,0.005,0.0001,0.0096
384,1,0,0,0,,0.9957,0.005,0.0001,0.0096
385,1,0,0,0,,0.9957,0.005,0.0001,0.0095
386,1,0,0,0,,0.9957,0.005,0.0001,0.0095
387,1,0,0,0,,0.9957,0.005,0.0001,0.0094
388,1,0,0,0,,0.9957,0.0051,0.0001,0.0094
389,1,0,0,0,,0.9957,0.0051,0.0001,0.0094
390,1,0,0,0,,0.9956,0.0051,0.0001,0.0093
391,1,0,0,0,,0.9956,0.0051,0.0001,0.0093
392,1,0,0,0,,0.9956,0.0051,0.0001,0.0093
393,1,0,0,0,,0.9956,0.0051,0.0001,0.0092
394,1,0,0,0,,0.9956,0.0051,0.0001,0.0092
395,1,0,0,0,,0.9956,0.0052,0.0001,0.0092
396,1,0,0,0,,0.9956,0.0052,0.0001,0.0091
397,1,0,0,0,,0.9955,0.0052,0.0001,0.0091
398,1,0,0,0,,0.9955,0.0052,0.0001,0.0091
399,1,0,0,0,,0.9955,0.0052,0.0001,0.009
400,1,0,0,0,,0.9955,0.0052,0.0001,0.009
401,1,0,0,0,,0.9955,0.0052,0.0001,0.009
402,1,0,0,0,,0.9955,0.0053,0.0001,0.009
403,1,0,0,0,,0.9955,0.0053,0.0001,0.0089
404,1,0,0,0,,0.9955,0.0053,0.0001,0.0089
405,1,0,0,0,,0.9955,0.0053,0.0001,0.0089
406,1,0,0,0,,0.9954,0.0053,0.0001,0.0089
407,1,0,0,0,,0.9954,0.0053,0.0001,0.0089
408,1,0,0,0,,0.9954,0.0053,0.0001,0.0089
409,1,0,0,0,,0.9954,0.0053,0.0001,0.0089
410,1,0,0,0,,0.9954,0.0053,0.0001,0.0089
411,1,0,0,0,,0.9954,0.0053,0.0001,0.0089
412,1,0,0,0,,0.9954,0.0053,0.0001,0.0089
413,1,0,0,0,,0.9954,0.0053,0.0001,0.0089
414,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
415,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
416,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
417,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
418,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
419,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
420,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
421,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
422,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
423,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
424,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
425,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
426,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
427,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
428,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
429,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
430,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
431,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
432,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
433,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
434,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
435,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
436,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
437,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
438,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
439,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
440,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
441,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
442,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
443,1,0,0,0,,0.9954,0.0053,0.0001,0.0088
444,1,0,0,0,,0.9954,0.0053,0.0001,0.0087
445,1,0,0,0,,0.9954,0.0053,0.0001,0.0087
446,1,0,0,0,,0.9954,0.0053,0.0001,0.0087
447,1,0,0,0,,0.9954,0.0053,0.0001,0.0087
448,1,0,0,0,,0.9954,0.0053,0.0001,0.0087
449,1,0,0,0,,0.9954,0.0053,0.0001,0.0087
450,1,0,0,0,,0.9954,0.0053,0.0001,0.0087
451,1,0,0,0,,0.9954,0.0053,0.0001,0.0087
452,1,0,0,0,,0.9954,0.0053,0.0001,0.0087
453,1,0,0,0,,0.9954,0.0053,0.0001,0.0087
454,1,0,0,0,,0.9954,0.0053,0.0001,0.0087
